shift_id,shift,units_per_hour,defect_rate,meets_sla
1,D,493.83,0.154,1
2,B,267.39,0.434,0
3,B,445.21,0.106,1
4,C,299.11,0.469,1
5,C,213.66,0.117,0
6,D,401.15,0.292,1
7,B,248.0,0.073,0
8,C,51.83,0.126,0
9,C,483.78,0.352,1
10,A,465.56,0.093,1
11,A,231.79,0.04,0
12,A,163.53,0.157,0
13,D,225.91,0.448,0
14,C,137.8,0.493,0
15,B,187.95,0.204,0
16,A,34.95,0.441,0
17,A,215.0,0.057,0
18,C,395.81,0.328,1
19,B,174.49,0.13,0
20,A,164.0,0.142,0
21,C,180.19,0.394,0
22,D,187.51,0.159,0
23,A,450.34,0.447,1
24,B,331.72,0.11,1
25,A,197.75,0.188,0
26,B,77.3,0.032,0
27,C,96.52,0.159,0
28,C,72.16,0.477,0
29,B,483.95,0.371,1
30,D,470.72,0.165,1
31,C,79.89,0.341,0
32,A,16.66,0.433,0
33,D,74.44,0.301,0
34,C,301.74,0.295,1
35,D,370.93,0.39,1
36,D,359.8,0.338,1
37,B,289.75,0.208,1
38,B,339.39,0.099,1
39,D,270.57,0.186,0
40,A,208.24,0.36,0
41,A,338.18,0.239,1
42,B,443.79,0.188,1
43,A,343.61,0.07,1
44,A,291.38,0.439,1
45,D,85.18,0.131,0
46,C,232.02,0.33,0
47,A,300.21,0.187,1
48,B,367.94,0.019,1
49,A,318.16,0.295,1
50,D,64.42,0.116,0
51,A,350.41,0.359,1
52,C,456.37,0.092,1
53,C,479.05,0.196,1
54,B,181.21,0.326,0
55,A,141.32,0.343,0
56,D,431.76,0.015,1
57,C,252.87,0.363,0
58,D,211.47,0.048,0
59,D,284.12,0.389,0
60,C,136.49,0.289,0
61,D,210.88,0.132,0
62,B,379.25,0.016,1
63,A,74.39,0.491,0
64,C,366.41,0.247,1
65,A,364.23,0.385,1
66,C,385.06,0.211,1
67,D,119.09,0.252,0
68,C,274.8,0.46,0
69,A,332.11,0.475,1
70,A,491.62,0.311,1
71,D,12.65,0.443,0
72,D,25.57,0.006,0
73,C,104.26,0.32,0
74,C,42.26,0.324,0
75,C,63.8,0.172,0
76,D,486.81,0.24,1
77,A,458.0,0.465,1
78,D,395.5,0.148,1
79,D,83.13,0.023,0
80,A,258.94,0.121,0
81,C,338.55,0.154,1
82,D,338.0,0.108,1
83,B,400.86,0.357,1
84,A,340.81,0.244,1
85,D,103.58,0.26,0
86,C,429.66,0.1,1
87,D,309.23,0.228,1
88,D,468.03,0.264,1
89,C,337.18,0.027,1
90,B,222.72,0.006,0
91,C,360.53,0.027,1
92,D,229.34,0.325,0
93,A,446.72,0.235,1
94,C,97.12,0.12,0
95,D,419.59,0.25,1
96,A,58.27,0.422,0
97,D,356.74,0.086,1
98,A,400.64,0.447,1
99,B,298.9,0.023,1
100,D,104.7,0.278,0
101,C,205.03,0.017,0
102,C,339.04,0.349,1
103,D,169.05,0.376,0
104,D,465.15,0.162,1
105,B,179.38,0.477,0
106,B,319.66,0.353,1
107,A,381.12,0.009,1
108,C,62.42,0.243,0
109,B,477.13,0.231,1
110,C,267.27,0.205,0
111,D,139.38,0.414,0
112,A,263.95,0.257,0
113,D,456.39,0.38,1
114,B,118.57,0.171,0
115,D,458.6,0.38,1
116,D,204.38,0.393,0
117,B,33.12,0.229,0
118,A,403.75,0.451,1
119,B,119.95,0.052,0
120,C,300.39,0.423,1
121,B,223.07,0.014,0
122,C,85.33,0.271,0
123,B,394.94,0.381,1
124,A,378.13,0.08,1
125,B,171.68,0.295,0
126,C,138.38,0.426,0
127,A,414.46,0.283,1
128,A,10.58,0.376,0
129,B,430.22,0.027,1
130,B,51.57,0.298,0
